SKU,NOMBRE,DESCRIPCION_CORTA
40255          ,162525_40255-CHIFONIER CEDRO PLATINUM.png,1
40259          ,227402_40259-PLACARD 912 2P 2C TABACO PLATINUM.png,1
40280          ,208446_40280-GABINETE DE PLANCHADO 3080 BCO PLATINUM.png,1
40281          ,208446_40281-GABINETE DE PLANCHADO 3081 BCO PLATINUM.png,1
40634          ,172212_40634-CORTADORA CESPED ELECTRICA MAX 5003 1HP CRECOLECTOR PETRI.png,1
40887          ,206446_40887-COLCHON PARAISO REAL II 1.40X1.90 PIERO.png,1
40954          ,108216_40954.jpg,1
40955          ,108216_40955.jpg,1
41048          ,223439_41048-CHIFONIER 920 CEDRO PLATINUM.png,1
41054          ,211821_41054-PLACARD 916 6P 4C CEDRO PLATINUM.png,1
41065          ,211808_MEDIDAS 912 PLATINUM.png,2
41081          ,222746_EBA5.png,1
41099          ,222746_EBA3.png,1
41160          ,207439_41160-SILLON FIESTA REJILLADO BLANCO VOSS.png,1
41201          ,167544_2071-solcito.png,1
41202          ,167544_2010-solcito.png,1
41203          ,167544_3030-solcito.png,1
41204          ,167544_2050-solcito.png,1
41205          ,167544_2055-solcito.png,1
41209          ,167544_2070-solcito.png,1
41211          ,167544_3022-solcito.png,1
41213          ,167544_3025-amarilla solcito.png,7
41214          ,167544_1090-solcito.png,1
41215          ,167544_1091-solcito.png,1
41223          ,167544_2080_2090_3000-solcito.png,1
41290          ,225377_41290-VENTILADOR DE TECHO VT313 LUMER .png,1
41292          ,225377_41292-VENTILADOR DE TECHO VT317 LUMER.png,1
41299          ,206557_41299-BORDEADORA MASTER 600W INDELPLAS.png,1
41326          ,163750_super economica.png,1
41331          ,163750_lujo economica.png,1
41414          ,108224_41414.jpg,1
41497          ,248433_41497-PILETA N6 3000L. TIBURONCITO.png,1
41597          ,107177_41597.jpg,1
41892          ,205923_41892-ALMOHADA DARLING 70X40 PIERO.png,1
42024          ,204282_42024-BICI R12 BMX VARON B8394 WAL HER.png,1
42026          ,204282_42026-BICI R12 BMX DAMA B83940 WAL HER.png,1
42028          ,206932_42028-BICI R20 FREESTYLE PINTADA B8336 WAL HER.png,1
43557          ,108224_43557.jpg,1
44075          ,207439_44075-SILLA GALA NEGRA VOSS.png,1
44088          ,163750_alas.png,1
44439          ,204825_44439-BORDEADORA W700 WIMER.png,1
44516          ,205923_44516-ALMOHADA MOONLIGHT 70X40 PIERO.png,1
44524          ,206513_44524-COLCHON PARAISO REAL II 1.00X1.90 PIERO.png,1
