SKU,NOMBRE,DESCRIPCION_CORTA
40255          ,162525_40255-CHIFONIER CEDRO PLATINUM.png,1
40259          ,227402_40259-PLACARD 912 2P 2C TABACO PLATINUM.png,1
40280          ,208446_40280-GABINETE DE PLANCHADO 3080 BCO PLATINUM.png,1
40281          ,208446_40281-GABINETE DE PLANCHADO 3081 BCO PLATINUM.png,1
40634          ,172212_40634-CORTADORA CESPED ELECTRICA MAX 5003 1HP CRECOLECTOR PETRI.png,1
40887          ,206446_40887-COLCHON PARAISO REAL II 1.40X1.90 PIERO.png,1
40954          ,108216_40954.jpg,1
40955          ,108216_40955.jpg,1
41048          ,223439_41048-CHIFONIER 920 CEDRO PLATINUM.png,1
41054          ,211821_41054-PLACARD 916 6P 4C CEDRO PLATINUM.png,1
